Date,AXISBANK,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANKBARODA,HDFC,BANDHANBNK,GICRE,HDFCAMC,HDFCLIFE,IBULHSGFIN,ICICIBANK,ICICIGI,ICICIPRULI,INDUSINDBK,KOTAKBANK,L&TFH,NIACL,PEL,PFC,PNB,SBILIFE,SBIIN,SRTRANSFIN
2010-02-10,145.3286285,330.1722107,431.6976929,13.74671173,55.33771133,382.5189819,,,,,,77.5707779,,,140.5886993,178.9466858,,,254.8719635,60.9422493,84.72399902,,83.61966705,428.5633545
2010-02-11,146.5413208,326.9298401,431.5445251,13.63455963,55.39232635,382.8645325,,,,,,80.1168518,,,140.3078156,180.8772278,,,254.4264984,59.44268036,86.02735138,,83.87333679,431.5723877
2010-02-15,145.9243469,327.0263367,426.8351135,13.46638203,55.0348587,384.2144165,,,,,,79.2729721,,,140.3078156,179.0077057,,,258.1946716,59.99581909,85.45835114,,82.88266754,419.4920349
2010-02-16,145.5413971,321.4124756,430.70224,13.59488297,56.67324448,390.2084961,,,,,,80.7377777,,,141.431427,181.9841919,,,259.1532593,60.02038574,86.38725281,,84.00236511,415.2440491
2010-02-17,151.3778229,319.7670898,436.9048462,14.46862793,57.29384613,395.9534607,,,,,,81.5619125,,,144.0062866,186.5222321,,,256.6529541,59.54101563,86.63040924,,85.58783722,418.5628967
2010-02-18,155.8029938,320.1542664,438.1683655,14.07845211,58.495327,398.6853333,,,,,,81.4744568,,,143.9594421,184.8504944,,,259.7356262,57.66036987,87.15078735,,84.95584869,416.5715027
2010-02-19,155.2356262,319.4764709,430.5490417,13.91027641,56.6086998,398.5326538,,,,,,80.8444519,,,145.6448517,179.5734863,,,259.7356262,57.70955276,86.11489868,,83.33318329,407.986908
2010-02-22,157.072403,319.4764709,437.5175171,13.80980873,56.16186523,399.2718811,,,,,,80.655098,,,144.7553558,176.1669922,,,253.9471741,57.13183212,85.93495941,,83.81647491,410.2437134
2010-02-23,155.7533569,320.879364,451.6840515,13.90791798,56.97112656,404.7516785,,,,,,82.2212601,,,139.0906067,173.5584869,,,256.9268188,57.02121735,85.9106369,,83.62184143,402.8098145
2010-02-24,155.1363678,319.718811,459.6096497,13.63927555,56.18669891,400.5976868,,,,,,81.5811539,,,140.4014282,174.1616974,,,257.235321,59.51641464,84.70453644,,84.03079224,393.7384338
2010-02-25,155.4838715,320.9287415,454.3641968,13.32383537,56.68813324,395.7204285,,,,,,82.5946579,,,137.6393127,179.5616608,,,265.5240173,61.43393326,85.32217407,,83.69838715,381.4369202
2010-02-26,159.4906158,335.9802551,455.5895081,14.0340662,57.94423294,401.7948303,,,,,,84.588089,,,139.4182892,183.0783539,,,272.5463867,61.53226471,87.63710785,,86.35106659,407.6330261
2010-03-02,163.8165131,335.7861633,467.1141663,14.70226288,60.62026215,411.4367371,,,,,,87.0125504,,,142.7890472,184.3083191,,,287.7543335,60.53663254,89.38305664,,86.89122009,417.8105774
2010-03-03,162.9513397,330.6559448,461.7921143,15.01063061,59.96491623,418.5637512,,,,,,88.0991669,,,154.3058014,186.7318115,,,286.144165,63.67101669,90.5161972,,88.45485687,408.5180664
2010-03-04,159.0864105,327.3169861,454.4790955,14.95224476,60.49614334,417.2058411,,,,,,87.1336365,,,149.390152,190.6922913,,,284.7055664,63.24081039,90.56484985,,88.90535736,409.8454895
2010-03-05,156.49086,326.2519836,449.6547546,15.05973339,59.05635071,415.9443054,,,,,,87.459053,,,149.5773773,197.2474823,,,281.8282471,63.84311676,90.23899078,,89.53952789,408.6507568
2010-03-08,160.1714325,323.4932556,451.7606506,14.98961449,59.671978,419.6242981,,,,,,89.5927582,,,148.8751373,199.8677521,,,282.7875977,64.60519409,90.18064117,,90.35960388,420.9523315
2010-03-09,158.5190887,326.5907898,452.2200012,15.06906605,60.60536957,427.3378296,,,,,,89.7282639,,,145.4575653,195.193924,,,289.4322815,63.63415146,89.62621307,,89.4258194,446.5289917
